gefahr_id,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Technologie,Ecologie,Économie,Politique,changement démographique
7,0,0,1,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0
26,1,1,1,0,0,0,0,0,1
42,0,0,0,0,0,1,0,1,0
87,0,0,0,1,0,0,0,0,0
93,0,1,1,0,0,0,0,0,0
106,0,1,1,0,0,0,0,0,0
117,0,0,1,0,0,0,0,0,0
125,0,0,0,0,1,1,0,0,0
126,0,0,0,0,1,2,0,1,0
202,0,0,0,1,0,0,0,0,0
246,0,0,1,0,1,0,0,0,0
293,0,0,0,0,0,1,0,0,0
310,0,0,0,0,0,1,0,0,0
348,0,0,0,0,1,0,1,0,0
401,0,0,0,1,0,0,0,0,0
417,0,0,0,0,0,1,0,0,0
557,0,0,0,0,0,1,0,0,0
565,0,0,0,0,0,1,0,0,0
576,0,0,1,0,0,0,0,0,0
593,0,0,1,0,0,0,0,0,0
594,0,0,1,0,0,0,0,0,0
606,0,0,1,0,0,0,0,0,0
607,0,0,0,0,1,0,0,0,0
